序列   电影名称   评星   评论人数   上映国家   上映时间   简述
136   天书奇谭   9.2   175997人评价    中国大陆    1983(中国大陆)    传奇的年代，醉人的童话。
137   怪兽电力公司   8.7   511626人评价    美国    2001    不要给它起名字，起了名字就有感情了。
138   神偷奶爸   8.6   765818人评价    美国法国    2010    Mr. I Don't Care其实也有Care的时候。
139   玩具总动员3   8.8   395463人评价    美国    2010    跨度十五年的欢乐与泪水。
140   傲慢与偏见   8.6   606497人评价    法国英国美国    2005    爱是摈弃傲慢与偏见之后的曙光。
141   时空恋旅人   8.8   446801人评价    英国    2013    把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
142   教父3   8.9   273795人评价    美国    1990    任何信念的力量，都无法改变命运。
143   哈利·波特与密室   8.7   494902人评价    美国英国德国    2002    魔法的密室之门已打开...
144   釜山行   8.5   910448人评价    韩国    2016    揭露人性的丧尸题材力作。
145   血战钢锯岭   8.7   630799人评价    澳大利亚美国    2016    优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
141   时空恋旅人   8.8   446801人评价    英国    2013    把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
142   教父3   8.9   273795人评价    美国    1990    任何信念的力量，都无法改变命运。
143   哈利·波特与密室   8.7   494902人评价    美国英国德国    2002    魔法的密室之门已打开...
144   釜山行   8.5   910448人评价    韩国    2016    揭露人性的丧尸题材力作。
145   血战钢锯岭   8.7   630799人评价    澳大利亚美国    2016    优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
146   哪吒闹海   9.1   195767人评价    中国大陆    1979    想你时你在闹海。
147   被解救的姜戈   8.7   473427人评价    美国    2012    热血沸腾，那个低俗、性感的无耻混蛋又来了。
148   七武士   9.3   148793人评价    日本    1954    时代悲歌。
149   喜宴   8.9   265150人评价    中国台湾美国    1993    中国家庭的喜怒哀乐忍。
150   风之谷   8.9   297777人评价    日本    1984    动画片的圣经。
151   电锯惊魂   8.7   401332人评价    美国    2004    真相就在眼前。
152   一个叫欧维的男人决定去死   8.9   315380人评价    瑞典    2015    惠及一生的美丽。
153   我是山姆   8.9   243065人评价    美国    2001    爱并不需要智商 。
